πᾶς, πᾶσα, πᾶν (παντ-)	весь, всякий, каждый
οὖν	итак, следовательно, поэтому
ἕως	до (предл. + род.); пока, пока не (союз)
δεκατέσσαρες, -α	четырнадцать
ἡ μετοικεσία, -ας	переселение, изгнание
ἡ γενεά, -ᾶς	род, поколение
οὕτως	так, таким образом
εἰμί, ἔσομαι, ἦν (impf.)	быть; я есть
μνηστεύω / μνηστεύομαι	обручать / быть обрученной
πρίν	прежде, прежде чем
συνέρχομαι, συνελεύσομαι, συνῆλθον, συνελήλυθα	сходиться, собираться вместе
εὑρίσκω, εὑρήσω, εὗρον, εὕρηκα, εὑρέθην	находить
ἡ γαστήρ, -τρός	живот, чрево, утроба
ἐκ (ἐξ)	из, от
ἔχω, ἕξω, ἔσχον, ἔσχηκα	иметь
ὁ ἀνήρ, ἀνδρός	муж, мужчина
εἰμί (прич. ὤν, οὖσα, ὄν)	быть; будучи, сущий
μή	не (с сосл., повел., инф., прич.)
θέλω, θελήσω, ἠθέλησα	хотеть, желать
δειγματίζω, δειγματίσω, ἐδειγμάτισα	выставлять напоказ, публично позорить
βούλομαι, βουλήσομαι, ἐβουλήθην	хотеть, желать, намереваться
λάθρᾳ	тайно, скрытно
ἀπολύω, ἀπολύσω, ἀπέλυσα, ἀπολέλυκα	отпускать, разводиться
οὗτος, αὕτη, τοῦτο	этот, эта, это
ἐνθυμέομαι, ἐνθυμηθήσομαι, ἐνθυμήθην	размышлять, обдумывать
ἰδού	вот, се
τὸ ὄναρ (indecl.)	сон, сновидение
φαίνω / φαίνομαι, φανοῦμαι, ἐφάνην, πέφηνα	являть(ся), показывать(ся)
παραλαμβάνω, παραλήμψομαι, παρέλαβον, παρείληφα	брать, принимать
σύ, σοῦ, σοί, σέ	ты
τίκτω, τέξομαι, ἔτεκον, τέτοκα	рождать
καλέω, καλέσω, ἐκάλεσα, κέκληκα	звать, называть
σῴζω, σώσω, ἔσωσα, σέσωκα	спасать
ὁ λαός, -οῦ	народ
ἡ ἁμαρτία, -ας	грех
ὅλος, -η, -ον	весь, целый
ἵνα	чтобы, дабы
πληρόω, πληρώσω, ἐπλήρωσα, πεπλήρωκα, ἐπληρώθην	исполнять, наполнять
λέγω, ἐρῶ, εἶπον, εἴρηκα, ἐρρήθην	говорить
ὁ προφήτης, -ου	пророк
ἡ παρθένος, -ου	дева, девушка
μετά (μεθ')	с (+ род.); после (+ вин.)
ἐγώ, ἐμοῦ/μου, ἐμοί/μοι, ἐμέ/με; мн. ἡμεῖς, ἡμῶν	я; мы
ἐγείρω, ἐγερῶ, ἤγειρα, ἐγήγερκα, ἠγέρθην	поднимать, воскрешать
ὁ ὕπνος, -ου	сон
ποιέω, ποιήσω, ἐποίησα, πεποίηκα	делать, творить
ὡς	как, как только, когда
προστάσσω, προστάξω, προσέταξα, προστέταχα	приказывать, повелевать
γινώσκω, γνώσομαι, ἔγνων, ἔγνωκα	знать, познавать
ἡ ἡμέρα, -ας	день
ὁ μάγος, -ου	маг, волхв
ἡ ἀνατολή, -ῆς	восток, восход
παραγίνομαι, παραγενήσομαι, παρεγενόμην, παραγέγονα	приходить, являться
ποῦ	где
ὁράω, ὄψομαι, εἶδον, ἑώρακα	видеть
ὁ ἀστήρ, -έρος	звезда
ἔρχομαι, ἐλεύσομαι, ἦλθον, ἐλήλυθα	приходить, идти
προσκυνέω, προσκυνήσω, προσεκύνησα, προσκεκύνηκα	поклоняться
ἀκούω, ἀκούσω, ἤκουσα, ἀκήκοα	слышать
ταράσσω, ταράξω, ἐτάραξα, τετάραχα, ἐταράχθην	смущать, тревожить
συνάγω, συνάξω, συνήγαγον	собирать
ὁ ἀρχιερεύς, -έως	первосвященник
ὁ γραμματεύς, -έως	книжник
πυνθάνομαι, πεύσομαι, ἐπυθόμην, πέπυσμαι	узнавать, расспрашивать
γράφω, γράψω, ἔγραψα, γέγραφα, γέγραμμαι	писать
οὐδαμῶς	никак, никоим образом
ἐλάχιστος, -η, -ον	наименьший, малейший
ὁ ἡγεμών, -όνος	правитель, вождь, начальник
ἐξέρχομαι, ἐξελεύσομαι, ἐξῆλθον, ἐξελήλυθα	выходить
ἡγέομαι, ἡγήσομαι, ἡγησάμην, ἥγημαι	вести, предводительствовать, считать
ὅστις, ἥτις, ὅ τι	кто бы ни, который
ποιμαίνω, ποιμανῶ, ἐποίμανα	пасти
