#separator:tab
#html:false
#notetype:Basic
#deck:Койне
#tags column:4
#columns:Греческое слово	Перевод	Грамматика	Теги
ἀγαθόν, -οῦ, τό	благо, добро	II скл., ср.р. (субстантивированное прилагательное)	урок06
ἀγαθός, -ή, -όν	добрый, хороший	[агатос, -э, -он]; прилагательное I–II скл.; м.р., ж.р., ср.р.; -ος, -η, -ον	урок01 урок02 урок07 урок08
ἀγαπάω	любить	основа ἀγαπα-; II спр. (контрактный на -άω); inf. ἀγαπᾶν	урок10 урок22
ἀγάπη, -ης, ἡ	любовь	I скл.; основа на -η; ж.р.	урок02 урок03 урок08 урок10 урок16
ἄγγελος, -ου, ὁ	ангел, вестник	[ангелос]; II скл., м.р.	урок01 урок04 урок08
ἅγιος, -α, -ον	святой, святая, святое	прилагательное I–II скл.; -ος, -α, -ον (после ι)	урок07 урок08
ἄγω	вести, приводить	основа ἀγ-; III спр.; pass. ἄγομαι	урок11 урок16
ἀδελφός, -οῦ, ὁ	брат	[адельфос]; II скл., м.р.	урок01
αἰών, αἰῶνος, ὁ	век, вечность	III скл., м.р.; основа αἰων-; εἰς τὸν αἰῶνα — вовек	урок13
αἰώνιος, -ον	вечный, вечная, вечное	прилагательное двух окончаний (м./ж. = -ος, ср. = -ον)	урок19 урок23
ἀκούω	слышать, слушать	основа ἀκου-; III спр.; + Gen. (кого) или Acc. (что); осн. формы: ἀκούσω, ἤκουσα, ἀκήκοα	урок11 матфей02
ἀλήθεια, -ας, ἡ	истина	I скл.; ж.р.	урок03 урок08
ἁμάρτημα, ἁμαρτήματος, τό	грех, согрешение	III скл., ср.р.; основа ἁμαρτηματ- (тип на -μα)	урок12
ἁμαρτία, -ας, ἡ	грех	I скл., ж.р.; основа на -α (после ι)	матфей01
ἁμαρτωλός, -ή, -όν	грешный; грешник	прилагательное I–II скл.; -ος, -η, -ον	урок07
ἀμήν	аминь, истинно	[амэн]; частица	урок01
ἀνά	вверх по, по	предлог + Acc.	урок23
ἀνάστασις, ἀναστάσεως, ἡ	воскресение	III скл., ж.р.; гласная основа на -ι; G sg. -εως	урок13
